                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8312,                 4.3877,                 1.5193,                0.48711,                0.12653,                0.07514,                0.02472,                 2.1135,                 4.4885,                 1.5525,             0.00047501,             0.00047501,             0.00047501
                      2,                 1.9465,                 3.5701,                 1.6422,                0.42388,                0.13469,                0.08106,                0.02935,                 2.2111,                 4.0307,                 1.6632,             0.00085716,             0.00085716,             0.00085716
                      3,                 2.0072,                  3.046,                 1.6864,                0.47388,                0.16962,                0.08655,                0.03758,                 2.2115,                  3.491,                 1.7094,               0.001145,               0.001145,               0.001145
                      4,                 1.9605,                 2.6767,                 1.6247,                0.49106,                0.15131,                0.09938,                0.04838,                 2.1788,                 2.9711,                 1.6795,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.8853,                 2.3481,                 1.6146,                0.59449,                0.19361,                0.16724,                0.07095,                 2.1001,                 2.6364,                 1.5983,              0.0010046,              0.0010046,              0.0010046
                      6,                 1.8098,                 2.1715,                 1.5269,                0.56688,                0.22481,                0.18314,                0.08243,                 2.0559,                 2.5855,                 1.5512,             0.00086312,             0.00086312,             0.00086312
                      7,                 1.7182,                 1.9897,                  1.482,                0.67107,                0.19035,                0.21999,                0.10601,                 2.0498,                 2.2833,                 1.5215,             0.00072164,             0.00072164,             0.00072164
                      8,                 1.6447,                 1.7976,                 1.4203,                0.67908,                0.23779,                0.25408,                0.12323,                 1.9158,                 2.1478,                 1.4687,             0.00058017,             0.00058017,             0.00058017
                      9,                 1.5726,                 1.6932,                 1.3725,                0.47146,                 0.3084,                0.26993,                0.13966,                 1.8394,                 1.9706,                 1.4193,              0.0004387,              0.0004387,              0.0004387
                     10,                 1.4836,                 1.5632,                 1.3261,                0.75678,                0.26463,                0.30537,                0.15835,                 1.7761,                 1.8383,                 1.3792,             0.00029723,             0.00029723,             0.00029723
