                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7524,                 3.3566,                  1.486,                0.40832,                0.15214,                0.13464,                0.06431,                 2.0493,                 3.1753,                 1.6509,              0.0004733,              0.0004733,              0.0004733
                      2,                  2.104,                 2.7792,                 1.7068,                0.46291,                0.13781,                0.10945,                0.04329,                 2.3708,                 3.3146,                 1.9425,             0.00091829,             0.00091829,             0.00091829
                      3,                  2.244,                 2.8384,                  1.856,                0.51948,                0.14392,                0.11626,                0.04591,                 2.3977,                 5.3877,                 2.1677,              0.0013319,              0.0013319,              0.0013319
                      4,                 2.3079,                 2.8893,                  1.917,                0.49004,                0.14917,                0.10261,                0.04048,                 2.3885,                 3.3911,                 1.9769,              0.0012875,              0.0012875,              0.0012875
                      5,                  2.247,                 2.7128,                 1.9162,                0.55902,                 0.1676,                 0.1543,                 0.0619,                 2.2476,                 2.8602,                 1.8168,              0.0012875,              0.0012875,              0.0012875
                      6,                 2.2262,                 2.5808,                 1.8296,                0.56797,                0.20459,                0.14309,                0.05912,                 2.3215,                 2.9368,                 1.8841,              0.0012404,              0.0012404,              0.0012404
                      7,                 2.1074,                 2.4471,                 1.7775,                0.61331,                0.22665,                0.19775,                0.08746,                 2.0434,                 2.8697,                 1.7132,              0.0011932,              0.0011932,              0.0011932
                      8,                 2.0172,                 2.3918,                 1.7285,                0.68466,                0.22781,                0.22917,                0.09957,                 2.0166,                 2.2911,                 1.6776,              0.0011461,              0.0011461,              0.0011461
                      9,                 1.9763,                 2.3037,                 1.6878,                0.43336,                0.26235,                0.24458,                0.11747,                 1.9605,                 2.4435,                 1.6682,              0.0010989,              0.0010989,              0.0010989
                     10,                 1.9099,                 2.0332,                 1.6209,                0.35806,                0.24518,                0.22586,                 0.1122,                 2.0128,                 2.3133,                  1.668,              0.0010517,              0.0010517,              0.0010517
                     11,                 1.8953,                 2.1132,                  1.648,                0.62314,                0.31273,                0.30082,                0.14758,                 1.8601,                 2.3651,                  1.571,              0.0010046,              0.0010046,              0.0010046
                     12,                 1.8058,                 1.9745,                 1.6071,                0.37878,                0.28155,                0.25367,                0.11521,                 2.0072,                  2.192,                  1.644,             0.00095743,             0.00095743,             0.00095743
                     13,                 1.8024,                 1.9089,                 1.5469,                0.37659,                0.34045,                0.32458,                0.15881,                 1.7817,                 2.0452,                 1.5261,             0.00091027,             0.00091027,             0.00091027
                     14,                 1.7971,                 1.8783,                 1.5626,                0.56347,                0.37409,                0.34679,                 0.1675,                 1.8666,                 1.8429,                  1.517,             0.00086312,             0.00086312,             0.00086312
                     15,                 1.7416,                 1.7739,                 1.5136,                0.55412,                0.33813,                0.35843,                0.18183,                 1.7334,                  1.903,                 1.5166,             0.00081596,             0.00081596,             0.00081596
                     16,                 1.6695,                 1.6891,                 1.4744,                0.51348,                0.39117,                0.38211,                0.20254,                 1.7058,                 1.8906,                 1.4917,              0.0007688,              0.0007688,              0.0007688
